Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q13,Q14a,Q14b,Q14c,Q14d,Q14e,Q15,Q16a,Q16b,Q16c,Q16d,Q16e,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q21j,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q22g,Q23a,Q23b,Q23c,Q23d,Q23e,Q23f,Q23g,Q23h,Q23i,Q23j,Q24a,Q24b,Q24c,Q24d,Q24e,Q24f,Q24g,Q24h,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,Q25h,Q25i,Q25j,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35a,Q35b,Q35c,Q35d,Q36a,Q36b,Q36c,Q36d,Q36e,Q36f,Q36g,Q36h,Q36i,Q36j,Q37,Q38a_1,Q38b_1,Q38c_1,Q38d_1,Q38e_1,Q38f_1,Q38g_1,Q38h_1,Q38i_1,Q38j_1,Q38k_1,Q38l_1,Q38m_1,Q38n_1,Q38o_1,Q38p_1,Q38a_2,Q38b_2,Q38c_2,Q38d_2,Q38e_2,Q38f_2,Q38g_2,Q38h_2,Q38i_2,Q38j_2,Q38k_2,Q38l_2,Q38m_2,Q38n_2,Q38o_2,Q38p_2,SOURCE
Portugal,1,1,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt
Poland,1,1,2,3,20,2,2,5,,4,3,3,1,3,,4,,,1,0,0,0,0,1,5,2,3,,4,4,2,3,4,,3,3,3,3,3,4,4,4,,1,2,4,2,2,3,5,5,5,5,4,5,5,5,4,5,4,2,2,2,3,2,1,6,2,4,2,1,4,1,1,1,1,4,3,6,6,1,3,6,6,2,2,3,3,3,4,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Germany,1,1,1,2,21,2,2,2,4,4,4,4,2,2,4,4,4,4,1,0,0,1,0,0,3,4,4,4,3,2,3,4,4,4,4,4,,,2,2,2,4,,3,2,3,4,3,4,5,5,5,5,5,5,5,5,3,1,5,4,3,4,4,4,3,1,1,4,1,1,4,2,1,1,6,1,3,6,3,3,3,3,3,1,2,1,4,4,3,1,1,2,4,1,2,3,3,3,2,3,2,4,4,3,1,5,,2,,2,,4,3,4,4,3,2,4,3,3,3,4,4,5,3,1,5,4,2,1,5,1,3,1,3,1,2,1,3,1,4,4,5,2,4,3,1,2,4,4,3,5,5,4,2,1,4,2,en
Indonesia,1,1,1,2,19,2,2,3,3,2,4,3,5,3,1,2,3,4,5,0,1,1,1,0,4,3,3,5,4,4,4,2,4,3,3,4,2,1,3,1,2,2,2,5,2,4,2,1,3,3,5,3,3,3,3,1,3,3,3,4,3,3,3,3,3,3,1,3,6,6,4,1,1,1,1,1,1,3,3,10,1,3,1,1,3,5,3,3,3,3,3,3,3,3,2,1,2,2,1,3,2,4,1,1,5,3,4,1,1,1,2,,1,2,3,3,5,1,4,4,5,4,1,1,5,4,1,2,3,3,4,3,3,4,2,3,1,2,4,3,1,4,3,5,1,1,2,2,3,2,5,4,5,1,5,3,4,1,1,en
Poland,1,1,2,3,23,1,2,4,5,4,3,1,1,4,5,4,3,1,1,1,1,1,1,0,1,5,4,4,5,5,4,3,3,,3,3,3,3,,,3,,,1,4,1,5,5,4,4,5,5,5,1,5,1,5,4,4,5,4,5,5,5,5,5,4,5,4,,3,4,4,3,3,4,9,9,9,9,8,7,6,5,2,,3,4,4,3,3,2,3,3,2,3,4,5,4,3,2,1,1,1,5,5,3,2,2,,2,,3,4,4,4,3,2,3,2,3,2,2,3,3,3,1,1,2,3,4,5,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,en
Portugal,1,1,1,3,,2,2,3,5,2,5,3,1,3,4,2,2,3,1,1,0,1,0,0,3,5,4,4,3,4,5,4,2,3,3,,4,3,,3,,,,5,3,4,3,3,3,2,5,4,3,5,5,1,5,2,3,3,2,4,4,4,3,2,1,1,4,1,1,6,6,1,1,6,1,1,3,3,1,3,1,1,4,2,2,3,2,4,2,2,3,3,2,3,3,3,1,2,3,2,2,1,2,5,,1,1,1,1,1,3,4,,,1,,,,5,,,,5,2,2,3,3,3,3,3,3,3,1,1,3,2,1,3,2,3,4,3,1,5,3,2,3,3,5,1,5,5,4,3,2,2,2,pt
Malta,1,1,1,2,18,2,2,4,4,4,2,,1,,,,,,,0,0,0,0,1,5,2,2,3,4,4,5,4,,,4,5,,,,,,,,5,1,5,2,2,1,4,5,5,5,4,5,5,5,4,4,5,4,2,4,,3,3,6,2,3,6,1,6,1,1,1,1,1,12,1,1,1,1,1,3,2,2,2,4,4,5,3,2,4,4,4,3,5,5,2,2,5,5,5,1,2,1,2,1,2,,2,,4,4,,4,5,,,,,,,,,,2,4,3,4,1,3,1,3,1,1,1,2,1,4,1,2,3,4,2,5,3,1,1,3,1,1,1,5,4,4,1,2,1,en
India,1,1,1,3,22,2,2,,,,,,,,4,,,,2,0,0,0,1,0,4,2,5,5,5,3,4,3,4,3,3,4,4,3,3,3,4,3,3,,,,,,,2,5,5,4,1,5,5,5,3,4,4,4,2,5,5,4,3,3,2,5,2,1,4,2,1,1,6,12,1,3,1,1,1,1,1,3,3,2,3,1,2,1,2,2,2,4,1,2,4,1,1,4,1,1,1,5,5,,1,1,1,1,1,5,3,5,5,3,4,3,3,4,3,3,3,3,3,1,3,2,4,4,2,2,2,4,2,2,2,1,5,2,3,2,4,1,5,5,1,2,1,5,2,5,5,5,5,2,3,1,en
Romania,1,1,1,4,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,4,1,6,5,1,1,5,1,1,1,1,1,1,1,3,3,3,3,4,5,4,2,2,3,5,5,5,5,5,5,5,5,5,5,5,3,3,4,1,2,,1,1,5,5,4,5,3,3,3,3,3,3,3,3,3,3,1,4,5,3,4,3,1,5,3,3,1,5,1,3,1,1,3,5,2,3,3,3,1,5,5,3,1,1,5,1,3,4,3,en
India,1,1,1,3,22,2,2,3,,,1,2,1,4,,,,,1,0,0,0,1,0,4,,,4,4,2,4,3,4,3,3,3,3,3,,,,,,5,3,3,2,2,,5,5,5,5,1,5,5,5,3,4,4,4,1,4,4,2,2,2,1,2,2,1,5,2,2,1,1,1,3,4,4,1,3,4,1,2,2,2,4,2,2,2,3,3,5,5,5,3,4,2,4,5,5,2,2,3,3,,1,1,2,2,,4,3,3,4,2,3,,,4,,,,,,1,4,2,1,3,4,1,1,1,1,1,1,2,5,5,2,2,5,1,5,3,,4,1,5,1,5,5,5,5,5,4,1,en
Chile,1,1,1,2,42,2,2,2,3,3,2,2,1,2,2,2,1,2,1,1,0,1,1,0,4,5,3,2,4,4,5,2,2,2,3,3,4,4,3,3,3,5,5,5,3,4,4,3,3,3,5,3,3,5,5,5,5,5,1,4,4,2,4,5,3,4,3,2,3,6,2,6,5,2,2,6,1,4,4,4,4,4,4,4,3,4,3,3,2,4,3,2,3,4,3,4,5,5,5,5,4,5,4,1,3,3,2,1,2,,1,,2,4,2,4,5,5,5,,5,5,5,5,5,5,2,4,4,2,5,5,4,1,1,4,,3,1,4,5,5,4,5,2,5,2,1,5,3,5,4,,5,5,4,5,2,1,es
India,1,1,1,3,21,1,2,,,,,4,5,,,,,,5,0,0,0,1,0,4,3,4,3,,1,3,,,,,,,,,,,,,,,,,,,3,5,5,4,1,5,1,5,4,3,4,4,4,4,4,4,4,3,1,4,4,6,6,4,1,1,4,1,3,3,6,3,3,6,3,4,2,3,4,4,3,2,2,3,5,2,2,2,3,2,2,3,4,3,3,3,5,,1,1,1,2,,3,2,4,5,4,4,4,3,5,4,4,4,4,4,1,2,4,4,1,4,1,2,2,2,3,1,1,3,2,2,5,4,1,5,2,1,2,4,4,4,4,4,5,3,2,2,2,en
Italy,1,1,1,3,,1,2,4,3,2,1,4,2,4,3,2,1,4,2,1,0,0,0,0,1,4,2,4,4,3,4,3,4,4,4,3,3,3,3,3,4,4,3,4,2,3,4,3,2,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,3,4,2,4,6,2,4,2,1,1,2,4,4,6,4,4,3,4,4,2,2,2,4,4,4,2,2,5,5,2,3,5,1,1,2,2,3,2,1,3,5,,1,1,1,2,,,4,3,,3,3,4,3,5,3,3,4,3,3,2,4,2,3,2,1,1,1,1,1,1,4,1,4,1,3,4,5,1,5,4,5,2,3,1,1,4,5,5,4,1,3,2,it
Poland,1,1,1,4,20,2,2,5,,,4,3,1,4,,,4,4,1,1,0,1,0,0,1,5,4,4,5,4,3,4,4,,4,3,4,3,3,3,4,4,4,4,4,1,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Nigeria,1,1,1,4,20,2,2,,,,,4,,,,,,,,0,0,0,1,0,4,3,2,2,3,2,1,1,2,2,2,1,3,3,2,4,4,4,1,4,3,4,4,4,3,3,4,5,3,5,2,2,3,3,3,4,3,1,2,4,4,1,4,1,4,6,6,3,1,1,1,4,1,3,6,3,1,3,1,1,3,4,3,2,4,4,2,3,1,4,2,3,2,1,4,2,4,1,2,2,3,3,,1,1,1,2,,2,4,3,4,4,5,5,4,5,3,3,3,5,3,1,3,3,3,1,5,3,3,3,3,3,2,1,4,1,3,3,4,1,4,3,3,3,4,4,4,3,5,5,5,3,2,2,en
Portugal,1,1,1,2,,1,2,2,2,2,2,,1,4,,,,,1,1,1,0,0,0,1,4,3,4,4,4,5,3,3,4,4,,3,,,,,,,4,1,4,3,2,3,2,5,5,5,1,5,5,4,3,1,5,5,5,5,5,5,3,4,5,5,6,3,4,4,1,1,4,4,3,6,4,3,3,4,4,4,3,3,3,2,3,1,3,1,4,2,4,3,3,4,4,3,2,4,3,2,5,,1,1,1,1,1,5,5,3,4,1,3,4,4,3,4,4,3,5,4,1,3,4,2,2,4,3,5,1,2,2,2,1,2,1,2,4,4,3,3,2,2,3,3,4,3,3,3,4,2,1,3,4,pt
Hungary,1,2,1,3,34,2,2,5,4,4,4,5,1,5,4,4,4,5,1,0,0,1,0,0,3,4,4,4,4,5,3,5,5,5,5,4,4,3,3,3,5,5,5,2,4,3,5,4,3,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,3,5,4,4,4,3,1,1,6,12,3,6,12,1,12,1,1,4,5,4,1,2,1,1,1,1,4,1,1,2,1,2,1,2,3,3,3,3,1,5,3,2,,2,,4,5,4,4,4,4,4,4,5,4,5,5,5,4,2,4,4,4,4,3,3,3,1,3,1,5,1,3,3,5,4,5,1,1,1,1,3,4,5,3,5,1,5,4,5,5,2,en
India,1,1,1,3,18,2,2,3,3,3,3,3,5,3,3,3,3,3,5,0,0,0,1,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,1,1,4,1,5,3,1,3,3,3,4,3,3,3,5,3,5,6,5,3,3,1,1,5,3,3,4,4,4,3,1,3,4,3,3,3,1,1,1,3,1,3,1,1,2,2,2,2,2,2,2,2,4,3,,1,1,,2,,3,3,3,3,3,3,3,3,3,2,2,3,2,2,1,4,5,1,2,1,2,1,2,1,2,1,1,3,2,2,4,5,2,5,4,2,4,2,4,4,5,4,5,4,4,4,2,en
Turkey,1,1,2,2,23,1,2,4,5,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr
United Arab Emirates,2,2,2,3,28,1,2,4,,,,4,1,4,,,,,1,0,0,0,0,1,1,4,3,4,5,4,4,4,,,4,,,,,4,,,,2,2,2,4,4,4,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Croatia,1,1,2,2,22,2,2,2,4,4,5,2,4,1,4,4,5,2,3,0,0,1,0,0,3,2,4,5,2,2,5,2,4,5,2,2,2,4,4,4,4,4,4,1,1,1,4,4,1,4,5,5,5,1,5,5,5,4,4,5,4,4,2,5,4,3,6,4,4,6,3,4,4,1,1,4,1,1,6,1,1,1,1,1,3,2,2,4,4,2,1,3,3,1,1,1,3,3,3,2,2,2,1,1,3,5,,1,2,,2,,2,4,2,5,4,3,3,1,1,2,1,1,1,1,1,5,3,2,2,3,2,1,1,1,1,1,1,4,1,4,5,5,1,5,5,1,4,1,4,1,5,5,5,3,1,4,4,en
Romania,1,1,2,2,41,2,2,3,4,3,4,,,4,,,3,4,,1,0,1,1,0,3,4,4,4,4,4,4,3,2,3,3,3,4,3,3,3,4,3,3,5,3,3,4,4,4,2,5,4,2,4,4,3,5,4,4,4,4,4,2,5,3,3,6,4,2,,,2,3,3,3,3,1,1,6,8,,1,12,6,2,4,4,2,2,2,1,2,1,1,4,1,3,3,5,5,5,4,4,1,4,1,3,,2,,2,,4,4,2,3,,,,5,5,5,5,5,,5,2,1,1,2,2,1,1,1,1,1,1,1,1,1,,,1,1,1,4,4,4,5,5,1,1,1,1,4,1,,,,ro
Chile,1,1,1,2,,1,2,3,3,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Poland,2,1,2,2,58,1,2,2,3,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Mexico,1,2,1,3,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
Bangladesh,1,1,1,3,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Afghanistan,1,2,1,3,19,1,2,1,1,1,1,1,3,3,3,2,2,2,3,0,0,0,1,0,5,1,2,2,1,4,3,2,,,3,3,3,1,1,1,1,1,5,5,2,5,2,2,2,3,1,3,2,1,4,2,4,2,3,4,5,4,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,6,2,3,2,4,5,5,1,3,3,1,1,12,1,1,2,1,1,4,4,,3,2,4,1,4,3,3,3,2,3,1,,4,3,4,3,4,,1,,2,,1,3,4,3,5,4,4,4,4,4,4,4,4,4,,5,5,5,5,4,2,,3,2,2,2,3,3,1,2,3,5,1,2,5,2,3,2,4,4,3,3,3,1,2,3,3,en
Malaysia,1,1,1,2,22,2,2,2,2,,4,2,1,2,4,1,4,2,1,1,0,1,1,0,4,4,4,3,4,5,5,2,2,3,3,,4,1,,,4,4,,4,5,1,4,1,4,3,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,3,6,1,3,6,1,6,3,1,1,6,1,3,6,1,1,12,6,6,5,5,3,3,2,2,1,3,1,2,5,2,3,1,1,2,1,1,4,1,5,5,,1,1,1,2,,3,3,3,3,3,,,,,,,,,,2,3,2,3,4,2,1,1,1,1,1,5,2,3,3,2,4,4,1,5,3,1,1,1,1,1,1,5,5,3,2,3,1,en
Georgia,1,1,1,2,19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
Nepal,1,1,1,3,19,2,2,4,4,4,5,3,4,,4,4,4,4,4,,,,,,2,4,4,4,4,3,5,,,4,4,3,3,3,,,4,4,4,4,3,2,3,2,2,4,5,1,1,1,5,1,5,4,4,4,4,3,4,4,4,3,5,3,5,5,1,5,5,1,1,6,1,1,6,1,1,3,3,3,2,5,4,3,3,4,1,4,3,2,2,5,4,5,5,3,4,1,1,1,5,5,,1,2,,2,,1,3,4,5,4,5,4,3,5,4,2,4,5,3,2,4,3,3,4,3,1,3,1,3,1,1,5,3,3,3,3,5,1,5,5,1,3,1,5,4,5,5,5,2,4,3,1,en
Nepal,1,1,1,3,18,2,2,3,,,4,,1,3,,,4,,1,1,0,1,1,0,1,4,4,4,4,4,4,3,,3,4,3,,,,,4,4,,4,2,4,3,3,3,5,5,5,5,1,5,5,5,4,3,4,4,3,4,4,4,3,4,2,3,4,3,3,1,1,1,1,1,3,3,3,3,3,3,3,4,3,2,2,3,3,1,4,3,3,2,2,3,4,1,2,3,4,2,2,4,5,,1,2,,2,,1,3,4,1,3,4,4,4,5,5,5,5,5,4,1,4,4,4,4,1,4,5,1,2,1,1,4,4,1,2,4,5,2,5,5,1,2,1,5,3,1,5,5,4,1,4,1,en
India,1,1,1,3,23,1,2,2,4,3,5,3,1,2,4,3,5,3,1,0,0,0,0,1,1,3,3,3,3,2,2,2,1,1,1,1,1,1,3,1,3,2,1,4,2,5,3,3,2,5,5,5,3,2,5,5,4,3,4,4,4,2,3,4,3,2,1,1,4,1,1,4,1,1,1,4,12,12,,3,,,,3,2,2,2,4,3,2,3,2,4,4,3,3,3,3,3,2,3,3,2,1,4,5,,1,1,1,2,,3,2,3,3,3,3,4,5,5,5,5,5,5,4,1,3,2,4,3,2,3,2,3,2,2,4,1,3,2,2,2,4,2,5,4,1,3,3,4,2,2,5,4,2,2,3,1,en
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
